,imdb_id,domestic_distributor,domestic_opening,budget,releases,performance_domestic,performance_international,performance_worldwide,metric_roi,percentage_domestic,percentage_international
3133,tt1092007,Hart Sharp Entertainment,2012.0,,1.0,4070.0,2127.0,6197.0,,0.656769404550589,0.343230595449411
3134,tt1666186,Twentieth Century Fox,12202831.0,20000000.0,1.0,36661504.0,43886362.0,80547866.0,3.0273933,0.4551517727359779,0.5448482272640222
3136,tt0437405,MPI Media Group,8613.0,,1.0,13514.0,,13514.0,,1.0,
3137,tt1869296,,,,1.0,,163533.0,163533.0,,,1.0
3139,tt0077405,Paramount Pictures,,,2.0,3446749.0,28953.0,3475702.0,,0.9916698842420898,0.0083301157579102
3140,tt0116000,Walt Disney Studios Motion Pictures,6170358.0,,1.0,22955097.0,,22955097.0,,1.0,
3145,tt0110939,Universal Pictures,835570.0,,1.0,1316865.0,,1316865.0,,1.0,
3146,tt0800981,Adlabs Films,55418.0,,1.0,55418.0,33002.0,88420.0,,0.6267586518887129,0.373241348111287
3147,tt1825784,,1372.0,,1.0,4175.0,,4175.0,,1.0,
3148,tt0162830,Sony Pictures Classics,49849.0,,1.0,985341.0,,985341.0,,1.0,
3156,tt0096734,Universal Pictures,11101197.0,,1.0,36601993.0,12500000.0,49101993.0,,0.7454278485193055,0.2545721514806944
3158,tt0319524,New Line Cinema,5800000.0,16000000.0,1.0,14195227.0,195102.0,14390329.0,-0.1006044375,0.986442144581962,0.013557855418038
3159,tt0420548,Cinema Tropical,,,1.0,19791.0,1392962.0,1412753.0,,0.0140088182435287,0.9859911817564712
3161,tt0459748,,,,2.0,,4664538.0,4664538.0,,,1.0
3165,tt0366304,,,,1.0,,146732.0,146732.0,,,1.0
3167,tt1082599,,,,1.0,,45927.0,45927.0,,,1.0
3170,tt0132477,Universal Pictures,5905250.0,25000000.0,2.0,32570685.0,2128068.0,34698753.0,0.38795012,0.9386701879459473,0.0613298120540527
3171,tt0327597,Focus Features,16849640.0,60000000.0,3.0,82435595.0,49341615.0,131777210.0,1.1962868333333334,0.6255679187622807,0.3744320812377193
3172,tt0465502,Metro-Goldwyn-Mayer (MGM),7803347.0,25000000.0,1.0,19528602.0,11365283.0,30893885.0,0.2357554,0.632118686270762,0.367881313729238
3173,tt0106471,Orion Pictures,787724.0,,1.0,1796389.0,,1796389.0,,1.0,
3175,tt0219405,Odeon,21489.0,,1.0,48333.0,,48333.0,,1.0,
3179,tt0097883,Twentieth Century Fox,1614692.0,,1.0,5777099.0,,5777099.0,,1.0,
3180,tt0056218,United Artists,,,2.0,2757256.0,,2757256.0,,1.0,
3183,tt0265662,Walt Disney Studios Motion Pictures,16021684.0,22000000.0,1.0,75600072.0,5093465.0,80693537.0,2.667888045454545,0.9368788977486512,0.0631211022513488
3188,tt0101984,Warner Bros.,2278290.0,,1.0,9480198.0,,9480198.0,,1.0,
3189,tt0156841,Paramount Pictures,5870387.0,25000000.0,1.0,14990582.0,9372190.0,24362772.0,-0.02548912,0.61530691170939,0.3846930882906099
3192,tt0244528,Eros Worldwide,42914.0,,1.0,42914.0,,42914.0,,1.0,
3193,tt0099739,Warner Bros.,9213631.0,,1.0,47410827.0,,47410827.0,,1.0,
3196,tt0274309,Metro-Goldwyn-Mayer (MGM),34940.0,,2.0,1184096.0,1617301.0,2801397.0,,0.4226805411728505,0.5773194588271494
3201,tt0099342,Metro-Goldwyn-Mayer (MGM),313844.0,,1.0,1373728.0,,1373728.0,,1.0,
3202,tt0102592,IRS Media,44545.0,,1.0,1543112.0,,1543112.0,,1.0,
3203,tt0385677,,,,1.0,,1579799.0,1579799.0,,,1.0
3204,tt0455857,Screen Gems,21607203.0,15000000.0,1.0,47860214.0,19201909.0,67062123.0,3.4708082,0.7136698311802625,0.2863301688197375
3210,tt0287978,Twentieth Century Fox,40310419.0,78000000.0,1.0,102543518.0,76636200.0,179179718.0,1.2971758717948718,0.5722942258453605,0.4277057741546395
3212,tt0331468,Walt Disney Studios Motion Pictures,8190574.0,,1.0,21386011.0,7733423.0,29119434.0,,0.7344239932685505,0.2655760067314495
3215,tt0120681,Twentieth Century Fox,11014818.0,35000000.0,1.0,31602566.0,42955549.0,74558115.0,1.1302318571428571,0.4238648737297074,0.5761351262702926
3216,tt0138704,Artisan Entertainment,31069.0,,1.0,3221152.0,,3221152.0,,1.0,
3219,tt1224153,The Cinema Guild,8042.0,,2.0,60379.0,846211.0,906590.0,,0.0666001169216514,0.9333998830783484
3221,tt0085970,Twentieth Century Fox,947197.0,,1.0,64783827.0,,64783827.0,,1.0,
3223,tt0372884,Ariztical Entertainment,17510.0,,1.0,155212.0,,155212.0,,1.0,
3224,tt1433108,CBS Films,8523153.0,24000000.0,1.0,23240020.0,12386938.0,35626958.0,0.4844565833333333,0.6523155864163311,0.3476844135836688
3225,tt0133046,Miramax,3326870.0,13000000.0,1.0,8951935.0,,8951935.0,-0.3113896153846154,1.0,
3229,tt0113947,Artificial Eye,,,3.0,955300.0,408.0,955708.0,,0.9995730913626336,0.0004269086373662
3233,tt0097733,Warner Bros.,20388800.0,,1.0,147253986.0,80600000.0,227853986.0,,0.6462646916345804,0.3537353083654196
3235,tt0297162,Sony Pictures Entertainment (SPE),7820536.0,,1.0,15567860.0,3665420.0,19233280.0,,0.809423041727672,0.1905769582723279
3238,tt0250638,Palm Pictures,,,1.0,,849.0,849.0,,,1.0
3242,tt0116414,Fox Searchligh,2485764.0,,1.0,4939939.0,,4939939.0,,1.0,
3245,tt0082340,Embassy Pictures,,,2.0,25244626.0,30339.0,25274965.0,,0.9987996422546976,0.0012003577453025
3246,tt1341341,Magnolia Pictures,6920.0,,1.0,22270.0,25904.0,48174.0,,0.4622825590567526,0.5377174409432474
3247,tt0087363,Warner Bros.,12511634.0,,7.0,153642180.0,256710.0,153898890.0,,0.9983319567801952,0.0016680432198048
3250,tt1858396,,,,1.0,,59295.0,59295.0,,,1.0
3254,tt0116762,Gramercy Pictures (I),28318.0,,1.0,57252.0,,57252.0,,1.0,
3255,tt0963807,Roadside Attractions,61313.0,,1.0,821046.0,5753.0,826799.0,,0.993041839673246,0.0069581603267541
3257,tt0054469,Metro-Goldwyn-Mayer (MGM),,,,,,,,,
3259,tt1027658,First Run,1441.0,,1.0,39683.0,73586.0,113269.0,,0.3503429888142387,0.6496570111857614
3261,tt0246875,,,,1.0,,105735.0,105735.0,,,1.0
3266,tt0100029,Universal Pictures,7094552.0,6000000.0,1.0,24078196.0,193000.0,24271196.0,3.045199333333333,0.992048187489401,0.0079518125105989
3270,tt0103596,Walt Disney Studios Motion Pictures,5888920.0,,1.0,29000301.0,,29000301.0,,1.0,
3271,tt0313250,,,,2.0,,198457.0,198457.0,,,1.0
3274,tt0289229,Shadow Distribution,,,1.0,53715.0,79030.0,132745.0,,0.4046480093412181,0.5953519906587819
3276,tt0098554,Universal Pictures,8794501.0,,1.0,66758538.0,12500000.0,79258538.0,,0.8422882844495567,0.1577117155504432
3280,tt0077699,Universal Pictures,,,1.0,28460702.0,,28460702.0,,1.0,
3281,tt0104427,Twentieth Century Fox,6406012.0,,1.0,24276506.0,5025615.0,29302121.0,,0.8284897192254445,0.1715102807745555
3283,tt1949548,UTV Motion Pictures,389901.0,,1.0,598668.0,7438185.0,8036853.0,,0.0744903508873435,0.9255096491126564
3285,tt0120467,Lions Gate Films,9377.0,,1.0,15927.0,,15927.0,,1.0,
3289,tt0443632,Twentieth Century Fox,14367854.0,,1.0,36280697.0,42529898.0,78810595.0,,0.4603530400956876,0.5396469599043123
3291,tt0108551,Walt Disney Studios Motion Pictures,1222718.0,,1.0,39100956.0,,39100956.0,,1.0,
3294,tt1174730,Anchor Bay Films,32001.0,6000000.0,1.0,6671036.0,1207820.0,7878856.0,0.3131426666666667,0.8467010946766891,0.1532989053233109
3295,tt0944101,Abramorama,5036.0,,1.0,27595.0,12329.0,39924.0,,0.6911882576896102,0.3088117423103897
3299,tt0388183,New Line Cinema,2300000.0,,1.0,4008527.0,135125.0,4143652.0,,0.9673898773352588,0.0326101226647411
3300,tt0171135,,3077.0,,1.0,4287.0,,4287.0,,1.0,
3302,tt0259442,,,,1.0,,6831.0,6831.0,,,1.0
3303,tt0079640,Paramount Pictures,,,1.0,26079312.0,,26079312.0,,1.0,
3306,tt0089003,Cannon Film Distributors,5319116.0,,1.0,16116878.0,,16116878.0,,1.0,
3311,tt1548542,,,,1.0,,78497.0,78497.0,,,1.0
3313,tt0109456,Walt Disney Studios Motion Pictures,6610488.0,40000000.0,1.0,19726050.0,,19726050.0,-0.50684875,1.0,
3315,tt0112604,Lions Gate Films,,,1.0,87626.0,,87626.0,,1.0,
3316,tt0442933,Paramount Pictures,27515871.0,150000000.0,1.0,82280579.0,114113166.0,196393745.0,0.3092916333333333,0.418957227991146,0.5810427720088539
3318,tt0106536,Walt Disney Studios Motion Pictures,56833.0,,1.0,6011745.0,,6011745.0,,1.0,
3319,tt1145144,,,,1.0,,34073.0,34073.0,,,1.0
3323,tt0964185,American Zoetrope,30504.0,,1.0,518522.0,2355952.0,2874474.0,,0.1803884815100084,0.8196115184899916
3325,tt1375670,Sony Pictures Entertainment (SPE),40506562.0,80000000.0,2.0,162001186.0,109456115.0,271457301.0,2.3932162625,0.59678330773649,0.40321669226351
3337,tt0089798,Columbia Pictures,4222810.0,,1.0,12918858.0,,12918858.0,,1.0,
3341,tt0099018,Paramount Pictures,1608365.0,,1.0,6939946.0,,6939946.0,,1.0,
3345,tt0099938,Universal Pictures,7918560.0,15000000.0,1.0,91457688.0,110500000.0,201957688.0,12.463845866666666,0.4528556892570487,0.5471443107429512
3348,tt0064505,,,,3.0,,113867.0,113867.0,,,1.0
3352,tt0118971,Warner Bros.,12170536.0,,1.0,60944660.0,92000000.0,152944660.0,,0.3984752393447408,0.6015247606552593
3353,tt0464071,,,,1.0,,70627.0,70627.0,,,1.0
3355,tt0285861,Sony Pictures Classics,33287.0,10000000.0,2.0,1011871.0,259373.0,1271244.0,-0.8728756,0.7959691451837727,0.2040308548162272
3356,tt0101455,TriStar Pictures,2141360.0,,1.0,8667684.0,,8667684.0,,1.0,
3357,tt0363504,Metro-Goldwyn-Mayer (MGM),12281.0,750000.0,1.0,21398.0,,21398.0,-0.9714693333333332,1.0,
3358,tt0758766,Warner Bros.,13623630.0,,1.0,50572589.0,95323833.0,145896422.0,,0.3466335109986453,0.6533664890013546
3362,tt2367996,UTV Motion Pictures,55501.0,,1.0,101000.0,30965.0,131965.0,,0.7653544500435722,0.2346455499564278
3364,tt0256415,Walt Disney Studios Motion Pictures,35648740.0,30000000.0,1.0,127223418.0,53399006.0,180622424.0,5.020747466666666,0.7043611484252918,0.2956388515747081
3367,tt0157503,New Line Cinema,3986269.0,15000000.0,1.0,10571408.0,,10571408.0,-0.2952394666666667,1.0,
3368,tt0070016,Paramount Pictures,,,,,,,,,
3372,tt0439289,Sony Pictures Entertainment (SPE),226108.0,,1.0,7022827.0,437970.0,7460797.0,,0.9412971563225752,0.0587028436774248
3379,tt1205489,Warner Bros.,271720.0,33000000.0,1.0,148095302.0,121862926.0,269958228.0,7.180552363636363,0.5485859908667055,0.4514140091332945
3380,tt0277371,Sony Pictures Entertainment (SPE),12615116.0,15000000.0,2.0,38252284.0,28216701.0,66468985.0,3.4312656666666665,0.5754907194686364,0.4245092805313636
3384,tt0388213,,,,2.0,33223.0,20234.0,53457.0,,0.6214901696690798,0.3785098303309201
3385,tt0387596,Cinema Service,,,1.0,298347.0,4556834.0,4855181.0,,0.0614492024087258,0.938550797591274
3388,tt1549572,Fox Searchligh,77740.0,,1.0,1321194.0,617589.0,1938783.0,,0.6814553253252169,0.3185446746747831
3389,tt0111256,Metro-Goldwyn-Mayer (MGM),3969048.0,,1.0,20667959.0,,20667959.0,,1.0,
3390,tt0119896,Twentieth Century Fox,7809026.0,,1.0,31407873.0,12924142.0,44332015.0,,0.7084693307985211,0.2915306692014789
3393,tt0120728,Gramercy Pictures (I),277601.0,,1.0,3020601.0,,3020601.0,,1.0,
3397,tt0082427,Universal Pictures,2765456.0,,2.0,7886857.0,142.0,7886999.0,,0.999981995686826,1.8004313174123643e-05
3400,tt0299172,Walt Disney Studios Motion Pictures,13880771.0,110000000.0,1.0,50030461.0,95327601.0,145358062.0,0.3214369272727272,0.344187727268956,0.655812272731044
3401,tt0101745,Warner Bros.,7251854.0,,1.0,54830779.0,,54830779.0,,1.0,
3402,tt0120584,Lions Gate Films,11888.0,,1.0,26558.0,,26558.0,,1.0,
3403,tt0362771,,,,1.0,,1490772.0,1490772.0,,,1.0
3404,tt0107315,October Films,,,2.0,2019581.0,,2019581.0,,1.0,
3405,tt0460745,Warner Independent Pictures (WIP),,,2.0,240476.0,97964.0,338440.0,,0.7105424890674861,0.2894575109325139
3411,tt0348593,Focus Features,456876.0,7500000.0,1.0,3854624.0,2860443.0,6715067.0,-0.1046577333333333,0.5740261415113207,0.4259738584886792
3414,tt1524131,,,,1.0,,7927.0,7927.0,,,1.0
3415,tt0104897,Columbia Pictures,12385415.0,,1.0,40227006.0,,40227006.0,,1.0,
3416,tt0079940,,,,1.0,,13367.0,13367.0,,,1.0
3418,tt0430589,Eros Worldwide,142462.0,,1.0,223137.0,4200000.0,4423137.0,,0.0504476800062941,0.9495523199937058
3423,tt0107212,Walt Disney Studios Motion Pictures,3368711.0,,1.0,14904910.0,,14904910.0,,1.0,
3424,tt0220580,,,,2.0,307333.0,1556852.0,1864185.0,,0.1648618565217507,0.8351381434782492
3427,tt0286152,,,,2.0,,167572.0,167572.0,,,1.0
3428,tt0991346,Eros Worldwide,330246.0,,1.0,476032.0,12760785.0,13236817.0,,0.0359627242712504,0.9640372757287496
3431,tt0117104,Sony Pictures Entertainment (SPE),3872900.0,,1.0,10082005.0,,10082005.0,,1.0,
3433,tt0112435,Sony Pictures Entertainment (SPE),3418908.0,,1.0,9685976.0,,9685976.0,,1.0,
3434,tt0245046,Warner Bros.,46271.0,,1.0,741394.0,4581715.0,5323109.0,,0.139278380360049,0.860721619639951
3439,tt1431122,Eros Worldwide,242116.0,,1.0,285468.0,4345856.0,4631324.0,,0.0616385292844983,0.9383614707155016
3440,tt0489281,Paramount Pictures,4555117.0,25000000.0,1.0,10915744.0,297209.0,11212953.0,-0.55148188,0.9734941366471436,0.0265058633528562
3441,tt0129290,Universal Pictures,25262280.0,90000000.0,1.0,135026902.0,67266000.0,202292902.0,1.2476989111111112,0.6674821541687113,0.3325178458312887
3442,tt0341376,,,,1.0,,1422008.0,1422008.0,,,1.0
3443,tt0104695,Paramount Pictures,3222768.0,,1.0,23369283.0,,23369283.0,,1.0,
3444,tt0092076,Cannon Film Distributors,2822439.0,4700000.0,1.0,8025872.0,,8025872.0,0.7076323404255319,1.0,
3445,tt1270850,,,,1.0,,500641.0,500641.0,,,1.0
3447,tt0102593,Walt Disney Studios Motion Pictures,3360277.0,,1.0,11276846.0,,11276846.0,,1.0,
3448,tt0317198,Universal Pictures,8684055.0,40000000.0,1.0,40226215.0,224900703.0,265126918.0,5.62817295,0.1517243714951644,0.8482756285048355
3449,tt0076591,Paramount Pictures,,,1.0,3223888.0,,3223888.0,,1.0,
3450,tt0179477,,,,1.0,,11580.0,11580.0,,,1.0
3451,tt6448728,,,,1.0,,6653.0,6653.0,,,1.0
3452,tt0468526,Kino International,3310.0,,2.0,255923.0,45124.0,301047.0,,0.8501097835221743,0.1498902164778257
3457,tt0248126,Yash Raj Films,,7500000.0,3.0,2902000.0,8434308.0,11336308.0,0.5115077333333333,0.255991633254848,0.7440083667451519
3459,tt1655460,Universal Pictures,6526650.0,,1.0,17450535.0,6362281.0,23812816.0,,0.7328211413551425,0.2671788586448574
3460,tt0079766,,,,2.0,,243.0,243.0,,,1.0
3463,tt1567609,,,,24.0,,8826837.0,8826837.0,,,1.0
3464,tt0369441,Sony Pictures Entertainment (SPE),14383515.0,100000000.0,1.0,110332737.0,94349162.0,204681899.0,1.04681899,0.5390449157402043,0.4609550842597957
3466,tt0139134,Sony Pictures Entertainment (SPE),13020565.0,10500000.0,2.0,38773785.0,37573641.0,76347426.0,6.271183428571429,0.5078597541716731,0.4921402458283269
3468,tt0116552,Walt Disney Studios Motion Pictures,8605649.0,,1.0,32772492.0,,32772492.0,,1.0,
3473,tt0479651,,,,1.0,,16356962.0,16356962.0,,,1.0
3477,tt1465505,,,,1.0,,177.0,177.0,,,1.0
3479,tt0192194,Fine Line Features,,,2.0,85400.0,7042.0,92442.0,,0.9238225049220052,0.0761774950779948
3481,tt0422091,Yash Raj Films,102860.0,,1.0,245756.0,7066453.0,7312209.0,,0.0336089955853285,0.9663910044146714
3482,tt1122836,Roadside Attractions,43437.0,,1.0,104526.0,,104526.0,,1.0,
3483,tt0093693,Metro-Goldwyn-Mayer (MGM),1880006.0,,1.0,26713187.0,,26713187.0,,1.0,
3484,tt0452592,After Dark Films,512000.0,,4.0,97182.0,606217.0,703399.0,,0.1381605603647432,0.8618394396352568
3485,tt1172522,,,,4.0,,282884.0,282884.0,,,1.0
3486,tt0087277,Paramount Pictures,8556935.0,8200000.0,3.0,80035402.0,4625.0,80040027.0,8.760978902439025,0.9999422164112964,5.778358870368697e-05
3488,tt0273799,Walt Disney Studios Motion Pictures,5377958.0,25000000.0,1.0,17294293.0,1340361.0,18634654.0,-0.25461384,0.9280715917773412,0.0719284082226587
3489,tt0070825,Warner Bros.,,,,,,,,,
3490,tt0120723,Universal Pictures,2308145.0,,1.0,4106588.0,,4106588.0,,1.0,
3492,tt0385056,IFC Films,13798.0,,2.0,154187.0,28191.0,182378.0,,0.8454254350853722,0.1545745649146278
3493,tt0090264,Metro-Goldwyn-Mayer (MGM),10687114.0,,3.0,50327960.0,9572.0,50337532.0,,0.9998098436768812,0.0001901563231189
3494,tt1092633,Paramount Vantage,5642137.0,10000000.0,1.0,15122676.0,178209.0,15300885.0,0.5300885,0.9883530266386552,0.0116469733613447
3495,tt0208911,IFC Films,17929.0,,1.0,17929.0,,17929.0,,1.0,
3496,tt1179034,Lions Gate Films,8158860.0,52000000.0,2.0,24077427.0,28767069.0,52844496.0,0.0162403076923076,0.4556279049382929,0.5443720950617071
3498,tt0087538,Columbia Pictures,5031753.0,,5.0,91077276.0,42043.0,91119319.0,,0.9995385940055148,0.000461405994485
3499,tt0103976,TriStar Pictures,3405890.0,,1.0,14683921.0,,14683921.0,,1.0,
3501,tt0069293,Kino International,11537.0,,7.0,22168.0,204455.0,226624.0,,0.0978184128777181,0.9021771745269698
3502,tt1714203,Dimension Film,182237.0,,2.0,376512.0,8142122.0,8518634.0,,0.0441986356028443,0.9558013643971556
3503,tt0349159,Mormon Movie,114573.0,1500000.0,1.0,1680020.0,,1680020.0,0.1200133333333333,1.0,
3505,tt0365407,IFC Films,,,,,,,,,
3506,tt0087332,Columbia Pictures,13578151.0,30000000.0,8.0,243578797.0,53000000.0,296578797.0,8.8859599,0.8212953841066393,0.1787046158933607
3509,tt1712170,Lions Gate Films,11396768.0,35000000.0,1.0,25888412.0,8730455.0,34618867.0,-0.0108895142857142,0.7478122262060165,0.2521877737939835
3514,tt0240900,Sony Pictures Entertainment (SPE),2785283.0,14000000.0,1.0,5285941.0,1127974.0,6413915.0,-0.5418632142857143,0.8241364283748693,0.1758635716251306
3515,tt0086593,Twentieth Century Fox,1609448.0,,1.0,9632062.0,,9632062.0,,1.0,
3516,tt2690596,,,,1.0,,104774.0,104774.0,,,1.0
3517,tt0104521,,,,1.0,641886.0,,641886.0,,1.0,
3522,tt0889573,Miramax,8436713.0,19000000.0,2.0,27779426.0,22063585.0,49843011.0,1.6233163684210523,0.5573384400874176,0.4426615599125823
3523,tt1239401,,,,1.0,,4134386.0,4134386.0,,,1.0
3524,tt0080917,Universal Pictures,2008150.0,,1.0,5215015.0,,5215015.0,,1.0,
3526,tt0084412,Warner Bros.,2539633.0,,1.0,21095638.0,,21095638.0,,1.0,
3527,tt0857275,Magnolia Pictures,4582.0,,1.0,9309.0,,9309.0,,1.0,
3529,tt1212451,Cinedigm Entertainment Group,8040.0,,1.0,16880.0,,16880.0,,1.0,
3531,tt0496436,,,,9.0,,8526917.0,8526917.0,,,1.0
3532,tt0082096,Columbia Pictures,26994.0,,2.0,11487676.0,,11487676.0,,1.0,
3535,tt0087268,TriStar Pictures,1916222.0,,1.0,3854833.0,,3854833.0,,1.0,
3537,tt0429589,Warner Bros.,8432465.0,50000000.0,1.0,28142535.0,27038594.0,55181129.0,0.10362258,0.5100028852254908,0.4899971147745092
3538,tt0098725,Avenue Pictures Productions,20403.0,,2.0,938065.0,497.0,938562.0,,0.9994704665221904,0.0005295334778096
3540,tt1214974,,,,1.0,,29321.0,29321.0,,,1.0
3542,tt0096101,TriStar Pictures,3843067.0,,1.0,21630088.0,,21630088.0,,1.0,
3543,tt0105719,Metro-Goldwyn-Mayer (MGM),4300.0,,1.0,5900.0,,5900.0,,1.0,
3544,tt0121766,Twentieth Century Fox,108435841.0,113000000.0,3.0,380270577.0,488119983.0,868390560.0,6.68487221238938,0.4379027070492337,0.5620972929507663
3545,tt0119115,Universal Pictures,3759480.0,,1.0,9381260.0,,9381260.0,,1.0,
3546,tt0490181,Magnolia Pictures,4724.0,,1.0,6820.0,2124237.0,2131057.0,,0.0032002898092355,0.9967997101907644
3547,tt0936471,Full Circle Releasing,263941.0,,2.0,397641.0,10588.0,408229.0,,0.9740635770609144,0.0259364229390856
3551,tt0236640,,,,1.0,,129364.0,129364.0,,,1.0
3554,tt1202222,,,,1.0,,156510.0,156510.0,,,1.0
3557,tt0119695,New Line Cinema,10654369.0,,1.0,40922619.0,7484992.0,48407611.0,,0.8453757199461878,0.1546242800538122
3558,tt0115837,Fine Line Features,35416.0,,1.0,290978.0,,290978.0,,1.0,
3559,tt0106770,Universal Pictures,10019970.0,,1.0,35113743.0,28400000.0,63513743.0,,0.5528526794586803,0.4471473205413196
3560,tt0465436,Warner Independent Pictures (WIP),15810.0,,1.0,50715.0,1124864.0,1175579.0,,0.0431404439854743,0.9568595560145255
3563,tt0247638,Walt Disney Studios Motion Pictures,22862269.0,26000000.0,1.0,108248956.0,57086197.0,165335153.0,5.359044346153846,0.6547243827814403,0.3452756172185597
3566,tt0097889,Hemdale,341401.0,,1.0,1145404.0,,1145404.0,,1.0,
3567,tt0099623,Paramount Pictures,3036352.0,,1.0,8141292.0,,8141292.0,,1.0,
3569,tt0993778,,,,2.0,,436809.0,436809.0,,,1.0
3571,tt0414344,Magnolia Pictures,7540.0,,1.0,74655.0,,74655.0,,1.0,
3572,tt0097965,Walt Disney Studios Motion Pictures,432337.0,,1.0,10763469.0,,10763469.0,,1.0,
3574,tt0117571,Dimension Films,6354586.0,14000000.0,2.0,103046663.0,70000000.0,173046663.0,11.360475928571429,0.5954848317415979,0.404515168258402
3575,tt0844671,Metro-Goldwyn-Mayer (MGM),2153109.0,7000000.0,1.0,4694636.0,1570847.0,6265483.0,-0.104931,0.749285569843538,0.250714430156462
3577,tt1450328,Peace Film,139835.0,,1.0,369129.0,,369129.0,,1.0,
3578,tt0290498,Artistic License,1802.0,,1.0,1802.0,,1802.0,,1.0,
3579,tt0280969,,,,7.0,,6753562.0,6753562.0,,,1.0
3581,tt0964539,Metro-Goldwyn-Mayer (MGM),54244.0,,1.0,109846.0,3124860.0,3234706.0,,0.033958573051152,0.966041426948848
3587,tt0086877,Atlantic Releasing Corporation,1172292.0,,1.0,7035585.0,,7035585.0,,1.0,
3596,tt1266545,,,,1.0,,519015.0,519015.0,,,1.0
3597,tt0307351,MAC Releasing,6835.0,,1.0,58040.0,28237.0,86277.0,,0.6727169465790419,0.3272830534209581
3599,tt0114048,Walt Disney Studios Motion Pictures,6392155.0,,1.0,24670346.0,,24670346.0,,1.0,
3601,tt0063571,,,,1.0,,580.0,580.0,,,1.0
3602,tt0245562,Metro-Goldwyn-Mayer (MGM),14520412.0,115000000.0,1.0,40914068.0,36714197.0,77628265.0,-0.3249716086956521,0.5270511713742411,0.4729488286257589
3604,tt0473488,First Look International,94784.0,,1.0,517809.0,1517659.0,2035468.0,,0.2543930928906767,0.7456069071093233
3605,tt0216707,Eros Worldwide,188732.0,,1.0,284856.0,,284856.0,,1.0,
3606,tt0118647,Sony Pictures Entertainment (SPE),117608.0,,1.0,332597.0,,332597.0,,1.0,
3607,tt0295289,Metro-Goldwyn-Mayer (MGM),6988749.0,20000000.0,1.0,15545431.0,1886732.0,17432163.0,-0.12839185,0.8917671891893163,0.1082328108106836
3610,tt0499448,Walt Disney Studios Motion Pictures,55034805.0,225000000.0,1.0,141621490.0,278044078.0,419665568.0,0.8651803022222222,0.3374627341359584,0.6625372658640415
3611,tt1197628,Warner Bros.,11017334.0,18000000.0,1.0,24007324.0,2966230.0,26973554.0,0.4985307777777777,0.8900319179296877,0.1099680820703122
3613,tt0337579,Metro-Goldwyn-Mayer (MGM),24241612.0,30000000.0,1.0,65111277.0,880171.0,65991448.0,1.1997149333333332,0.9866623475211516,0.0133376524788484
3617,tt0069400,,,,2.0,,50573.0,50573.0,,,1.0
3621,tt1067774,Twentieth Century Fox,7453944.0,20000000.0,2.0,23186769.0,16595914.0,39782683.0,0.98913415,0.5828357277964384,0.4171642722035615
3622,tt0283054,,,,3.0,,3059871.0,3059871.0,,,1.0
3624,tt1629241,,,,1.0,,302507.0,302507.0,,,1.0
3626,tt0114694,Paramount Pictures,8027843.0,,1.0,32679899.0,,32679899.0,,1.0,
3628,tt0818682,Quixotic Media,12184.0,,1.0,22938.0,,22938.0,,1.0,
3630,tt0107750,Twentieth Century Fox,1286889.0,,1.0,3283371.0,,3283371.0,,1.0,
3631,tt0295254,Warner Bros.,5710128.0,40000000.0,1.0,13258249.0,5643766.0,18902015.0,-0.527449625,0.7014198750768106,0.2985801249231894
3635,tt0390418,Strand Releasing,5183.0,,1.0,31211.0,,31211.0,,1.0,
3636,tt1754123,,,,2.0,,2615533.0,2615533.0,,,1.0
3637,tt1259571,Summit Entertainment,142839137.0,50000000.0,3.0,297816253.0,413209228.0,711025481.0,13.22050962,0.4188545431327516,0.5811454568672484
3638,tt0066819,Universal Pictures,,,2.0,1100000.0,13069.0,1113069.0,,0.9882585895393726,0.0117414104606273
3639,tt0065832,RAF Industries,,,,,,,,,
3640,tt0164810,Castle Hill Productions,7998.0,,1.0,15430.0,,15430.0,,1.0,
3641,tt1077368,Warner Bros.,29685274.0,150000000.0,1.0,79727149.0,165800000.0,245527149.0,0.63684766,0.3247182616045446,0.6752817383954554
3642,tt0824747,Universal Pictures,489015.0,55000000.0,1.0,35739802.0,77658435.0,113398237.0,1.0617861272727274,0.3151707023452225,0.6848292976547775
3644,tt0366548,Warner Bros.,41533432.0,100000000.0,2.0,198000317.0,186335791.0,384336108.0,2.84336108,0.5151749025881274,0.4848250974118726
3646,tt2404027,UTV Motion Pictures,5527.0,,1.0,10017.0,,10017.0,,1.0,
3647,tt0900357,,,,4.0,,1798418.0,1798418.0,,,1.0
3648,tt0105813,Warner Bros.,3151629.0,,1.0,9011574.0,,9011574.0,,1.0,
3649,tt0337692,IFC Films,39550.0,,1.0,744296.0,8873081.0,9617377.0,,0.0773907480178847,0.9226092519821152
3650,tt0237572,Warner Bros.,5765347.0,35000000.0,1.0,19733089.0,9686202.0,29419291.0,-0.1594488285714285,0.670753384233495,0.329246615766505
3651,tt0306047,Dimension Films,49700000.0,48000000.0,1.0,110003217.0,110670000.0,220673217.0,3.5973586875,0.4984892072335176,0.5015107927664824
3652,tt1825813,,,,1.0,,126531.0,126531.0,,,1.0
3655,tt1130080,Warner Bros.,10464314.0,22000000.0,1.0,33316821.0,8454347.0,41771168.0,0.8986894545454546,0.7976032894268122,0.2023967105731877
3656,tt1560139,Paladin Films/Unison Film,21244.0,,1.0,256211.0,43294943.0,43551154.0,,0.005882989920313,0.994117010079687
